time_1,time_2,gols_1,gols_2,data,ano,país_sede,comparecimento,resultado,rodada,gols_1_detalhes,gols_2_detalhes,gols_1_contra,gols_2_contra,gols_1_penalti,gols_2_penalti,cartao_vermelho_1,cartao_vermelho_2,cartao_amarelo_1,cartao_amarelo_2,copa
Poland,Argentina,0,2,2022-11-30,2022,Qatar,44089,0–2,Group stage,,Alexis Mac Allister · 46|Julián Álvarez · 67,,,,,,,['78&rsquor;|0:2|Grzegorz Krychowiak'],['49&rsquor;|0:1|Marcos Acuña'],Masculina
Ecuador,Senegal,1,2,2022-11-29,2022,Qatar,44569,1–2,Group stage,Moisés Caicedo · 67,Kalidou Koulibaly · 70,,,,Ismaila Sarr (P) · 44,,,,['66&rsquor;|0:1|Idrissa Gana Gueye'],Masculina
Netherlands,Qatar,2,0,2022-11-29,2022,Qatar,66784,2–0,Group stage,Cody Gakpo · 26|Frenkie de Jong · 49,,,,,,,,['52&rsquor;|2:0|Nathan Aké'],,Masculina
IR Iran,United States,0,1,2022-11-29,2022,Qatar,42127,0–1,Group stage,,Christian Pulisic · 38,,,,,,,"['77&rsquor;|0:1|Majid Hosseini', '83&rsquor;|0:1|Hossein Kanaanizadegan', '90+6&rsquor;|0:1|Abolfazl Jalali']",['43&rsquor;|0:1|Tyler Adams'],Masculina
Wales,England,0,3,2022-11-29,2022,Qatar,44297,0–3,Group stage,,Marcus Rashford · 50|Phil Foden · 52|Marcus Rashford · 68,,,,,,,"['29&rsquor;|0:0|Daniel James', '61&rsquor;|0:2|Aaron Ramsey']",,Masculina
Cameroon,Serbia,3,3,2022-11-28,2022,Qatar,39789,3–3,Group stage,Jean-Charles Castelletto · 29|Vincent Aboubakar · 64|Eric Maxim Choupo-Moting · 66,Strahinja Pavlović · 45+1|Sergej Milinković-Savić · 45+3|Aleksandar Mitrović · 53,,,,,,,"['24&rsquor;|0:0|Nicolas Nkoulou', '30&rsquor;|1:0|Christian Bassogog']","['45+4&rsquor;|1:2|Luka Jović', '90+3&rsquor;|3:3|Nikola Milenković']",Masculina
Korea Republic,Ghana,2,3,2022-11-28,2022,Qatar,43983,2–3,Group stage,Cho Guesung · 58|Cho Guesung · 61,Mohammed Salisu · 24|Kudus Mohammed · 34|Kudus Mohammed · 68,,,,,Paulo Bento · 90+11,,"['27&rsquor;|0:1|Jung Woo-young', '77&rsquor;|2:3|Kim Young-gwon']","['21&rsquor;|0:0|Daniel Amartey', '73&rsquor;|2:3|Tariq Lamptey']",Masculina
Brazil,Switzerland,1,0,2022-11-28,2022,Qatar,43649,1–0,Group stage,Casemiro · 83,,,,,,,,['52&rsquor;|0:0|Fred'],['50&rsquor;|0:0|Fabian Rieder'],Masculina
Portugal,Uruguay,2,0,2022-11-28,2022,Qatar,88668,2–0,Group stage,Bruno Fernandes · 54,,,,Bruno Fernandes (P) · 90+3,,,,"['38&rsquor;|0:0|Rúben Neves', '77&rsquor;|1:0|João Félix', '89&rsquor;|1:0|Rúben Dias']","['6&rsquor;|0:0|Rodrigo Bentancur', '44&rsquor;|0:0|Mathías Olivera']",Masculina
Japan,Costa Rica,0,1,2022-11-27,2022,Qatar,41479,0–1,Group stage,,Keysher Fuller · 81,,,,,,,"['44&rsquor;|0:0|Miki Yamane', '84&rsquor;|0:1|Ko Itakura', '90+3&rsquor;|0:1|Wataru Endo']","['41&rsquor;|0:0|Anthony Contreras', '62&rsquor;|0:0|Celso Borges', '70&rsquor;|0:0|Francisco Calvo']",Masculina
Belgium,Morocco,0,2,2022-11-27,2022,Qatar,43738,0–2,Group stage,,Romain Saïss · 73|Zakaria Aboukhlal · 90+2,,,,,,,['28&rsquor;|0:0|Amadou Onana'],['90+5&rsquor;|0:2|Abdelhamid Sabiri'],Masculina
Croatia,Canada,4,1,2022-11-27,2022,Qatar,44374,4–1,Group stage,Andrej Kramarić · 36|Marko Livaja · 44|Andrej Kramarić · 70|Lovro Majer · 90+4,Alphonso Davies · 2,,,,,,,"['56&rsquor;|2:1|Dejan Lovren', '85&rsquor;|3:1|Luka Modrić']","['52&rsquor;|2:1|Tajon Buchanan', '85&rsquor;|3:1|Kamal Miller']",Masculina
Spain,Germany,1,1,2022-11-27,2022,Qatar,68895,1–1,Group stage,Álvaro Morata · 62,Niclas Füllkrug · 83,,,,,,,['44&rsquor;|0:0|Sergio Busquets'],"['37&rsquor;|0:0|Thilo Kehrer', '58&rsquor;|0:0|Leon Goretzka', '60&rsquor;|0:0|Joshua Kimmich']",Masculina
Tunisia,Australia,0,1,2022-11-26,2022,Qatar,41823,0–1,Group stage,,Mitchell Duke · 23,,,,,,,"['26&rsquor;|0:1|Aïssa Laïdouni', '65&rsquor;|0:1|Ali Abdi', '90+3&rsquor;|0:1|Ferjani Sassi']",,Masculina
Poland,Saudi Arabia,2,0,2022-11-26,2022,Qatar,44259,2–0,Group stage,Piotr Zieliński · 39|Robert Lewandowski · 82,,,,,,,,"['15&rsquor;|0:0|Jakub Kiwior', '16&rsquor;|0:0|Matty Cash', '19&rsquor;|0:0|Arkadiusz Milik']","['20&rsquor;|0:0|Abdulellah Al-Malki', '45+4&rsquor;|1:0|Abdulelah Al-Amri']",Masculina
France,Denmark,2,1,2022-11-26,2022,Qatar,42860,2–1,Group stage,Kylian Mbappé · 61|Kylian Mbappé · 86,Andreas Christensen · 68,,,,,,,['43&rsquor;|0:0|Jules Koundé'],"['20&rsquor;|0:0|Andreas Christensen', '23&rsquor;|0:0|Andreas Cornelius']",Masculina
Argentina,Mexico,2,0,2022-11-26,2022,Qatar,88966,2–0,Group stage,Lionel Messi · 64|Enzo Fernández · 87,,,,,,,,['43&rsquor;|0:0|Gonzalo Montiel'],"['22&rsquor;|0:0|Néstor Araujo', '50&rsquor;|0:0|Erick Gutiérrez', '66&rsquor;|1:0|Héctor Herrera', '89&rsquor;|2:0|Roberto Alvarado']",Masculina
Wales,IR Iran,0,2,2022-11-25,2022,Qatar,40875,0–2,Group stage,,Roozbeh Cheshmi · 90+9|Ramin Rezaeian · 90+11,,,,,Wayne Hennessey · 86,,['45+3&rsquor;|0:0|Joe Rodon'],"['90+5&rsquor;|0:0|Ramin Rezaeian', '90+5&rsquor;|0:0|Alireza Jahanbakhsh']",Masculina
Qatar,Senegal,1,3,2022-11-25,2022,Qatar,41797,1–3,Group stage,Mohammed Muntari · 78,Boulaye Dia · 41|Famara Diedhiou · 48|Bamba Dieng · 84,,,,,,,"['20&rsquor;|0:0|Ismail Mohamad', '45+2&rsquor;|0:1|Homam Ahmed', '90+1&rsquor;|1:3|Assim Madibo']","['30&rsquor;|0:0|Boulaye Dia', '52&rsquor;|0:2|Ismail Jakobs', '87&rsquor;|1:3|Pathé Ciss']",Masculina
Netherlands,Ecuador,1,1,2022-11-25,2022,Qatar,44833,1–1,Group stage,Cody Gakpo · 6,Enner Valencia · 49,,,,,,,,['57&rsquor;|1:1|Jhegson Méndez'],Masculina
England,United States,0,0,2022-11-25,2022,Qatar,68463,0–0,Group stage,,,,,,,,,,,Masculina
Switzerland,Cameroon,1,0,2022-11-24,2022,Qatar,39089,1–0,Group stage,Breel Embolo · 48,,,,,,,,"['64&rsquor;|1:0|Nico Elvedi', '83&rsquor;|1:0|Manuel Akanji']",['36&rsquor;|0:0|Collins Fai'],Masculina
Uruguay,Korea Republic,0,0,2022-11-24,2022,Qatar,41663,0–0,Group stage,,,,,,,,,['57&rsquor;|0:0|Martín Cáceres'],"['88&rsquor;|0:0|Cho Guesung', '90+8&rsquor;|0:0|Paulo Bento']",Masculina
Portugal,Ghana,3,2,2022-11-24,2022,Qatar,42662,3–2,Group stage,João Félix · 78|Rafael Leão · 80,André Ayew · 73|Osman Bukari · 89,,,Cristiano Ronaldo (P) · 65,,,,"['90+1&rsquor;|3:2|Danilo Pereira', '90+5&rsquor;|3:2|Bruno Fernandes']","['45&rsquor;|0:0|Kudus Mohammed', '49&rsquor;|0:0|André Ayew', '57&rsquor;|0:0|Alidu Seidu', '90+1&rsquor;|3:2|Daniel Amartey']",Masculina
Brazil,Serbia,2,0,2022-11-24,2022,Qatar,88103,2–0,Group stage,Richarlison · 62|Richarlison · 73,,,,,,,,,"['7&rsquor;|0:0|Strahinja Pavlović', '49&rsquor;|0:0|Nemanja Gudelj', '64&rsquor;|1:0|Saša Lukić']",Masculina
Morocco,Croatia,0,0,2022-11-23,2022,Qatar,59407,0–0,Group stage,,,,,,,,,['78&rsquor;|0:0|Sofyan Amrabat'],,Masculina
Germany,Japan,1,2,2022-11-23,2022,Qatar,42608,1–2,Group stage,,Ritsu Doan · 75|Takuma Asano · 83,,,İlkay Gündoğan (P) · 33,,,,,,Masculina
Spain,Costa Rica,7,0,2022-11-23,2022,Qatar,40013,7–0,Group stage,Dani Olmo · 11|Marco Asensio · 21|Ferrán Torres · 54|Gavi · 74|Carlos Soler · 90|Álvaro Morata · 90+2,,,,Ferrán Torres (P) · 31,,,,,"['68&rsquor;|4:0|Francisco Calvo', '90+7&rsquor;|7:0|Joel Campbell']",Masculina
Belgium,Canada,1,0,2022-11-23,2022,Qatar,40432,1–0,Group stage,Michy Batshuayi · 44,,,,,,,,"['9&rsquor;|0:0|Yannick Carrasco', '53&rsquor;|1:0|Thomas Meunier', '56&rsquor;|1:0|Amadou Onana']","['81&rsquor;|1:0|Alphonso Davies', '83&rsquor;|1:0|Alistair Johnston']",Masculina
Argentina,Saudi Arabia,1,2,2022-11-22,2022,Qatar,88012,1–2,Group stage,,Saleh Al-Shehri · 48|Salem Al-Dawsari · 53,,,Lionel Messi (P) · 10,,,,,"['67&rsquor;|1:2|Abdulellah Al-Malki', '75&rsquor;|1:2|Ali Al-Bulaihi', '79&rsquor;|1:2|Salem Al-Dawsari', '82&rsquor;|1:2|Saud Abdulhamid', '88&rsquor;|1:2|Nawaf Al Abed', '90+2&rsquor;|1:2|Mohammed Al-Owais']",Masculina
Denmark,Tunisia,0,0,2022-11-22,2022,Qatar,42925,0–0,Group stage,,,,,,,,,"['24&rsquor;|0:0|Rasmus Nissen', '78&rsquor;|0:0|Mathias Jensen']",['86&rsquor;|0:0|Taha Yassine Khenissi'],Masculina
Mexico,Poland,0,0,2022-11-22,2022,Qatar,39369,0–0,Group stage,,,,,,,,,"['29&rsquor;|0:0|Jorge Eduardo Sánchez', '56&rsquor;|0:0|Héctor Moreno']",['76&rsquor;|0:0|Przemysław Frankowski'],Masculina
France,Australia,4,1,2022-11-22,2022,Qatar,40875,4–1,Group stage,Adrien Rabiot · 27|Olivier Giroud · 32|Kylian Mbappé · 68|Olivier Giroud · 71,Craig Goodwin · 9,,,,,,,,"['55&rsquor;|2:1|Mitchell Duke', '80&rsquor;|4:1|Jackson Irvine', '90+4&rsquor;|4:1|Aaron Mooy']",Masculina
England,IR Iran,6,2,2022-11-21,2022,Qatar,45334,6–2,Group stage,Jude Bellingham · 35|Bukayo Saka · 43|Raheem Sterling · 45+1|Bukayo Saka · 62|Marcus Rashford · 71|Jack Grealish · 90,Mehdi Taremi · 65,,,,Mehdi Taremi (P) · 90+13,,,,"['25&rsquor;|0:0|Alireza Jahanbakhsh', '48&rsquor;|3:0|Morteza Pouraliganji']",Masculina
Senegal,Netherlands,0,2,2022-11-21,2022,Qatar,41721,0–2,Group stage,,Cody Gakpo · 84|Davy Klaassen · 90+9,,,,,,,"['90+4&rsquor;|0:1|Nampalys Mendy', '90+6&rsquor;|0:1|Idrissa Gana Gueye']",['56&rsquor;|0:0|Matthijs de Ligt'],Masculina
United States,Wales,1,1,2022-11-21,2022,Qatar,43418,1–1,Group stage,Timothy Weah · 36,,,,,Gareth Bale (P) · 82,,,"['11&rsquor;|0:0|Sergiño Dest', '13&rsquor;|0:0|Weston McKennie', '51&rsquor;|1:0|Tim Ream', '90+10&rsquor;|1:1|Kellyn Acosta']","['40&rsquor;|1:0|Gareth Bale', '45+2&rsquor;|1:0|Chris Mepham']",Masculina
Qatar,Ecuador,0,2,2022-11-20,2022,Qatar,67372,0–2,Group stage,,Enner Valencia · 31,,,,Enner Valencia (P) · 16,,,"['15&rsquor;|0:0|Saad Al Sheeb', '22&rsquor;|0:1|Almoez Ali', '36&rsquor;|0:2|Karim Boudiaf', '78&rsquor;|0:2|Akram Afif']","['29&rsquor;|0:1|Moisés Caicedo', '56&rsquor;|0:2|Jhegson Méndez']",Masculina
France,Croatia,4,2,2018-07-15,2018,Russia,78011,4–2,Final,Paul Pogba · 59|Kylian Mbappé · 65,Ivan Perišić · 28|Mario Mandžukić · 69,Mario Mandžukić (OG) · 18,,Antoine Griezmann (P) · 38,,,,"[""27&rsquor;|1:0|N'Golo Kanté"", '41&rsquor;|2:1|Lucas Hernández']",['90+2&rsquor;|4:2|Šime Vrsaljko'],Masculina
Belgium,England,2,0,2018-07-14,2018,Russia,64406,2–0,Third-place match,Thomas Meunier · 4|Eden Hazard · 82,,,,,,,,['90+3&rsquor;|2:0|Axel Witsel'],"['52&rsquor;|1:0|John Stones', '77&rsquor;|1:0|Harry Maguire']",Masculina
Croatia,England,2,1,2018-07-11,2018,Russia,78011,2–1,Semi-finals,Ivan Perišić · 68|Mario Mandžukić · 109,Kieran Trippier · 5,,,,,,,"['48&rsquor;|0:1|Mario Mandžukić', '96&rsquor;|1:1|Ante Rebić']",['54&rsquor;|0:1|Kyle Walker'],Masculina
France,Belgium,1,0,2018-07-10,2018,Russia,64286,1–0,Semi-finals,Samuel Umtiti · 51,,,,,,,,"[""87&rsquor;|1:0|N'Golo Kanté"", '90+3&rsquor;|1:0|Kylian Mbappé']","['63&rsquor;|1:0|Eden Hazard', '71&rsquor;|1:0|Toby Alderweireld', '90+4&rsquor;|1:0|Jan Vertonghen']",Masculina
Sweden,England,0,2,2018-07-07,2018,Russia,39991,0–2,Quarter-finals,,Harry Maguire · 30|Dele Alli · 59,,,,,,,"['88&rsquor;|0:2|John Guidetti', '90+4&rsquor;|0:2|Seb Larsson']",['87&rsquor;|0:2|Harry Maguire'],Masculina
Russia,Croatia,2,2,2018-07-07,2018,Russia,44287,(3) 2–2 (4),Quarter-finals,Denis Cheryshev · 31|Mário Fernandes · 115,Andrej Kramarić · 39|Domagoj Vida · 101,,,,,,,['109&rsquor;|1:2|Yuri Gazinskiy'],"['35&rsquor;|1:0|Dejan Lovren', '38&rsquor;|1:0|Ivan Strinić', '101&rsquor;|1:2|Domagoj Vida', '114&rsquor;|1:2|Josip Pivarić']",Masculina
Uruguay,France,0,2,2018-07-06,2018,Russia,43319,0–2,Quarter-finals,,Raphaël Varane · 40|Antoine Griezmann · 61,,,,,,,"['38&rsquor;|0:0|Rodrigo Bentancur', '69&rsquor;|0:2|Cristian Rodríguez']","['33&rsquor;|0:0|Lucas Hernández', '69&rsquor;|0:2|Kylian Mbappé']",Masculina
Brazil,Belgium,1,2,2018-07-06,2018,Russia,42873,1–2,Quarter-finals,Renato Augusto · 76,Kevin De Bruyne · 32,,Fernandinho (OG) · 13,,,,,"['85&rsquor;|1:2|Fernandinho', '90&rsquor;|1:2|Fagner']","['47&rsquor;|0:2|Toby Alderweireld', '71&rsquor;|0:2|Thomas Meunier']",Masculina
Sweden,Switzerland,1,0,2018-07-03,2018,Russia,64042,1–0,Round of 16,Emil Forsberg · 66,,,,,,,Michael Lang · 90+3,['31&rsquor;|0:0|Mikael Lustig'],"['61&rsquor;|0:0|Valon Behrami', '68&rsquor;|1:0|Granit Xhaka']",Masculina
Colombia,England,1,1,2018-07-03,2018,Russia,44190,(3) 1–1 (4),Round of 16,Yerry Mina · 90+3,,,,,Harry Kane (P) · 57,,,"['41&rsquor;|0:0|Wílmar Barrios', '52&rsquor;|0:0|Santiago Arias', '54&rsquor;|0:0|Carlos Sánchez', '63&rsquor;|0:1|Radamel Falcao', '64&rsquor;|0:1|Carlos Bacca', '118&rsquor;|1:1|Juan Cuadrado']","['56&rsquor;|0:0|Jordan Henderson', '69&rsquor;|0:1|Jesse Lingard']",Masculina
Brazil,Mexico,2,0,2018-07-02,2018,Russia,41970,2–0,Round of 16,Neymar · 51|Roberto Firmino · 88,,,,,,,,"['43&rsquor;|0:0|Filipe Luís', '59&rsquor;|1:0|Casemiro']","['38&rsquor;|0:0|Edson Álvarez', '55&rsquor;|1:0|Héctor Herrera', '77&rsquor;|1:0|Carlos Salcedo', '90+2&rsquor;|2:0|Andrés Guardado']",Masculina
Belgium,Japan,3,2,2018-07-02,2018,Russia,41466,3–2,Round of 16,Jan Vertonghen · 69|Marouane Fellaini · 74|Nacer Chadli · 90+4,Genki Haraguchi · 48|Takashi Inui · 52,,,,,,,,['40&rsquor;|0:0|Gaku Shibasaki'],Masculina
Spain,Russia,1,1,2018-07-01,2018,Russia,78011,(3) 1–1 (4),Round of 16,,,Sergei Ignashevich (OG) · 12,,,Artem Dzyuba (P) · 42,,,['40&rsquor;|1:0|Gerard Piqué'],"['54&rsquor;|1:1|Ilya Kutepov', '71&rsquor;|1:1|Roman Zobnin']",Masculina
Croatia,Denmark,1,1,2018-07-01,2018,Russia,40851,(3) 1–1 (2),Round of 16,Mario Mandžukić · 4,Mathias Jørgensen · 1,,,,,,,,['115&rsquor;|1:1|Mathias Jørgensen'],Masculina
France,Argentina,4,3,2018-06-30,2018,Russia,42873,4–3,Round of 16,Benjamin Pavard · 57|Kylian Mbappé · 64|Kylian Mbappé · 68,Ángel Di María · 41|Gabriel Mercado · 48|Sergio Agüero · 90+3,,,Antoine Griezmann (P) · 13,,,,"['72&rsquor;|4:2|Blaise Matuidi', '73&rsquor;|4:2|Benjamin Pavard', '90+3&rsquor;|4:3|Olivier Giroud']","['11&rsquor;|0:0|Marcos Rojo', '19&rsquor;|1:0|Nicolás Tagliafico', '43&rsquor;|1:1|Javier Mascherano', '49&rsquor;|1:2|Éver Banega', '90+3&rsquor;|4:3|Nicolás Otamendi']",Masculina
Uruguay,Portugal,2,1,2018-06-30,2018,Russia,44287,2–1,Round of 16,Edinson Cavani · 7|Edinson Cavani · 62,Pepe · 55,,,,,,,,['90+3&rsquor;|2:1|Cristiano Ronaldo'],Masculina
Japan,Poland,0,1,2018-06-28,2018,Russia,42189,0–1,Group stage,,Jan Bednarek · 59,,,,,,,['66&rsquor;|0:1|Tomoaki Makino'],,Masculina
Senegal,Colombia,0,1,2018-06-28,2018,Russia,41970,0–1,Group stage,,Yerry Mina · 74,,,,,,,"[""51&rsquor;|0:0|M'Baye Niang""]",['45&rsquor;|0:0|Johan Mojica'],Masculina
England,Belgium,0,1,2018-06-28,2018,Russia,33973,0–1,Group stage,,Adnan Januzaj · 51,,,,,,,,"['19&rsquor;|0:0|Youri Tielemans', '33&rsquor;|0:0|Leander Dendoncker']",Masculina
Panama,Tunisia,1,2,2018-06-28,2018,Russia,37168,1–2,Group stage,,Fakhreddine Ben Youssef · 51|Wahbi Khazri · 66,Yassine Meriah (OG) · 33,,,,,,"['78&rsquor;|1:2|Ricardo Ávila', '79&rsquor;|1:2|Gabriel Gómez', '90+6&rsquor;|1:2|Luis Tejada']","['44&rsquor;|1:0|Ferjani Sassi', '71&rsquor;|1:2|Anice Badri', '90+3&rsquor;|1:2|Ghaylène Chaalali']",Masculina
Korea Republic,Germany,2,0,2018-06-27,2018,Russia,41835,2–0,Group stage,Kim Young-gwon · 90+3|Son Heung-min · 90+6,,,,,,,,"['9&rsquor;|0:0|Jung Woo-young', '23&rsquor;|0:0|Lee Jae-sung', '48&rsquor;|0:0|Moon Seon-min', '65&rsquor;|0:0|Son Heung-min']",,Masculina
Mexico,Sweden,0,3,2018-06-27,2018,Russia,33061,0–3,Group stage,,Ludwig Augustinsson · 50,,Edson Álvarez (OG) · 74,,Andreas Granqvist (P) · 62,,,"['1&rsquor;|0:0|Jesús Gallardo', '61&rsquor;|0:1|Héctor Moreno', '86&rsquor;|0:3|Miguel Layún']","['26&rsquor;|0:0|Seb Larsson', '88&rsquor;|0:3|Mikael Lustig']",Masculina
Switzerland,Costa Rica,2,2,2018-06-27,2018,Russia,43319,2–2,Group stage,Blerim Džemaili · 31|Josip Drmić · 88,Kendall Waston · 56,,Yann Sommer (OG) · 90+3,,,,,"['37&rsquor;|1:0|Stephan Lichtsteiner', '75&rsquor;|1:1|Denis Zakaria', '83&rsquor;|1:1|Fabian Schär']","['11&rsquor;|0:0|Cristian Gamboa', '29&rsquor;|0:0|Joel Campbell', '89&rsquor;|2:1|Kendall Waston']",Masculina
Serbia,Brazil,0,2,2018-06-27,2018,Russia,44190,0–2,Group stage,,Paulinho · 36|Thiago Silva · 68,,,,,,,"['33&rsquor;|0:0|Adem Ljajić', '48&rsquor;|0:1|Nemanja Matić', '71&rsquor;|0:2|Aleksandar Mitrović']",,Masculina
Australia,Peru,0,2,2018-06-26,2018,Russia,44073,0–2,Group stage,,André Carrillo · 18|Paolo Guerrero · 50,,,,,,,"['10&rsquor;|0:0|Mile Jedinak', '60&rsquor;|0:2|Daniel Arzani', '66&rsquor;|0:2|Tom Rogić', '88&rsquor;|0:2|Mark Milligan']","['45&rsquor;|0:1|Yoshimar Yotún', '79&rsquor;|0:2|Paolo Hurtado']",Masculina
Denmark,France,0,0,2018-06-26,2018,Russia,78011,0–0,Group stage,,,,,,,,,['45+3&rsquor;|0:0|Mathias Jørgensen'],,Masculina
Iceland,Croatia,1,2,2018-06-26,2018,Russia,43472,1–2,Group stage,,Milan Badelj · 53|Ivan Perišić · 90,,,Gylfi Sigurðsson (P) · 76,,,,"['59&rsquor;|0:1|Emil Hallfreðsson', '64&rsquor;|0:1|Alfreð Finnbogason', '84&rsquor;|1:1|Birkir Már Sævarsson']","['14&rsquor;|0:0|Marko Pjaca', '83&rsquor;|1:1|Tin Jedvaj']",Masculina
Nigeria,Argentina,1,2,2018-06-26,2018,Russia,64468,1–2,Group stage,,Lionel Messi · 14|Marcos Rojo · 86,,,Victor Moses (P) · 51,,,,"['32&rsquor;|0:1|Leon Balogun', '90+1&rsquor;|1:2|John Obi Mikel']","['49&rsquor;|0:1|Javier Mascherano', '64&rsquor;|1:1|Éver Banega', '90+4&rsquor;|1:2|Lionel Messi']",Masculina
Saudi Arabia,Egypt,2,1,2018-06-25,2018,Russia,36823,2–1,Group stage,Salem Al-Dawsari · 90+5,Mohamed Salah · 22,,,Salman Al-Faraj (P) · 45+6,,,,,"['45+5&rsquor;|0:1|Ali Gabr', '86&rsquor;|1:1|Ahmed Fathy']",Masculina
Uruguay,Russia,3,0,2018-06-25,2018,Russia,41970,3–0,Group stage,Luis Suárez · 10|Edinson Cavani · 90,,Denis Cheryshev (OG) · 23,,,,,,['59&rsquor;|2:0|Rodrigo Bentancur'],"['9&rsquor;|0:0|Yuri Gazinskiy', '27&rsquor;|2:0|Igor Smolnikov']",Masculina
Spain,Morocco,2,2,2018-06-25,2018,Russia,33973,2–2,Group stage,Isco · 19|Iago Aspas · 90+1,Khalid Boutaïb · 14|Youssef En-Nesyri · 81,,,,,,,,"['22&rsquor;|1:1|Karim El Ahmadi', '29&rsquor;|1:1|Nordin Amrabat', '31&rsquor;|1:1|Manuel da Costa', ""31&rsquor;|1:1|M'barek Boussoufa"", '88&rsquor;|1:2|Munir', '90+4&rsquor;|2:2|Achraf Hakimi']",Masculina
IR Iran,Portugal,1,1,2018-06-25,2018,Russia,41685,1–1,Group stage,,Ricardo Quaresma · 45,,,Karim Ansarifard (P) · 90+3,,,,"['51&rsquor;|0:1|Ehsan Hajsafi', '54&rsquor;|0:1|Sardar Azmoun']","['33&rsquor;|0:0|Raphaël Guerreiro', '64&rsquor;|0:1|Ricardo Quaresma', '83&rsquor;|0:1|Cristiano Ronaldo', '90+8&rsquor;|1:1|Cédric Soares']",Masculina
England,Panama,6,1,2018-06-24,2018,Russia,43319,6–1,Group stage,John Stones · 8|Jesse Lingard · 36|John Stones · 40|Harry Kane · 62,Felipe Baloy · 78,,,Harry Kane (P) · 22|Harry Kane (P) · 45+1,,,,['23&rsquor;|2:0|Ruben Loftus-Cheek'],"['10&rsquor;|1:0|Armando Cooper', '44&rsquor;|4:0|Fidel Escobar', '72&rsquor;|6:0|Michael Amir Murillo']",Masculina
Japan,Senegal,2,2,2018-06-24,2018,Russia,32572,2–2,Group stage,Takashi Inui · 34|Keisuke Honda · 78,Sadio Mané · 12|Moussa Wagué · 71,,,,,,,"['68&rsquor;|1:1|Takashi Inui', '90+4&rsquor;|2:2|Makoto Hasebe']","[""59&rsquor;|1:1|M'Baye Niang"", '90&rsquor;|2:2|Youssouf Sabaly', ""90+1&rsquor;|2:2|Cheikh N'Doye""]",Masculina
Poland,Colombia,0,3,2018-06-24,2018,Russia,42873,0–3,Group stage,,Yerry Mina · 40|Radamel Falcao · 70|Juan Cuadrado · 75,,,,,,,"['61&rsquor;|0:1|Jan Bednarek', '85&rsquor;|0:3|Jacek Góralski']",,Masculina
Belgium,Tunisia,5,2,2018-06-23,2018,Russia,44190,5–2,Group stage,Romelu Lukaku · 16|Romelu Lukaku · 45+3|Eden Hazard · 51|Michy Batshuayi · 90,Dylan Bronn · 18|Wahbi Khazri · 90+3,,,Eden Hazard (P) · 6,,,,,['14&rsquor;|1:0|Ferjani Sassi'],Masculina
Korea Republic,Mexico,1,2,2018-06-23,2018,Russia,43472,1–2,Group stage,Son Heung-min · 90+3,Javier Hernández · 66,,,,Carlos Vela (P) · 26,,,"['58&rsquor;|0:1|Kim Young-gwon', '63&rsquor;|0:1|Lee Yong', '72&rsquor;|0:2|Lee Seung-woo', '80&rsquor;|0:2|Jung Woo-young']",,Masculina
Germany,Sweden,2,1,2018-06-23,2018,Russia,44287,2–1,Group stage,Marco Reus · 48|Toni Kroos · 90+5,Ola Toivonen · 32,,,,,,,['71&rsquor;|1:1|Jérôme Boateng'],"['52&rsquor;|1:1|Albin Ekdal', '90+7&rsquor;|2:1|Seb Larsson']",Masculina
Brazil,Costa Rica,2,0,2018-06-22,2018,Russia,64468,2–0,Group stage,Philippe Coutinho · 90+1|Neymar · 90+7,,,,,,,,"['81&rsquor;|0:0|Philippe Coutinho', '81&rsquor;|0:0|Neymar']",['84&rsquor;|0:0|Johnny Acosta'],Masculina
Nigeria,Iceland,2,0,2018-06-22,2018,Russia,40904,2–0,Group stage,Ahmed Musa · 49|Ahmed Musa · 75,,,,,,,,['44&rsquor;|0:0|Brian Idowu'],,Masculina
Serbia,Switzerland,1,2,2018-06-22,2018,Russia,33167,1–2,Group stage,Aleksandar Mitrović · 5,Granit Xhaka · 52|Xherdan Shaqiri · 90,,,,,,,"['34&rsquor;|1:0|Sergej Milinković-Savić', '39&rsquor;|1:0|Luka Milivojević', '45+2&rsquor;|1:0|Nemanja Matić', '87&rsquor;|1:1|Aleksandar Mitrović']",['90+2&rsquor;|1:2|Xherdan Shaqiri'],Masculina
Denmark,Australia,1,1,2018-06-21,2018,Russia,40727,1–1,Group stage,Christian Eriksen · 7,,,,,Mile Jedinak (P) · 38,,,"['37&rsquor;|1:0|Yussuf Poulsen', '84&rsquor;|1:1|Pione Sisto']",,Masculina
France,Peru,1,0,2018-06-21,2018,Russia,32789,1–0,Group stage,Kylian Mbappé · 34,,,,,,,,"['16&rsquor;|0:0|Blaise Matuidi', '86&rsquor;|1:0|Paul Pogba']","['23&rsquor;|0:0|Paolo Guerrero', '81&rsquor;|1:0|Pedro Aquino']",Masculina
Argentina,Croatia,0,3,2018-06-21,2018,Russia,43319,0–3,Group stage,,Ante Rebić · 53|Luka Modrić · 80|Ivan Rakitić · 90+1,,,,,,,"['51&rsquor;|0:0|Gabriel Mercado', '85&rsquor;|0:2|Nicolás Otamendi', '87&rsquor;|0:2|Marcos Acuña']","['39&rsquor;|0:0|Ante Rebić', '59&rsquor;|0:1|Mario Mandžukić', '67&rsquor;|0:1|Šime Vrsaljko', '90+4&rsquor;|0:3|Vedran Ćorluka']",Masculina
